id,phase,area,file_or_module,task,priority,acceptance,status,notes,commit_sha,evidence
AT-025,API,清理,src/autoteam/api.py,新增 /api/accounts/clean/dry-run 和 /apply,P0,前端可执行清理预览和应用,done,封装 scan_accounts/cleanup_accounts/backup_accounts_file 含 report_after,696c382,unit 9 + 35 regression
AT-026,API,库存操作,src/autoteam/api.py,新增 allocate release sell mark-invalid repair-oauth 接口,P0,五类账号操作可通过 UI 完成,done,4 端点 allocate/release/mark-invalid/repair-oauth；sell 复用既有 line 2069；mark-invalid reason 校验,88e68da,unit 13 + 66 regression
AT-027,前端,导航,web/src/components/Sidebar.vue,新增账号管理入口,P1,侧边栏显示账号管理中心,done,Sidebar.vue+App.vue+api.js+2 占位组件; npm run build pass,4491ead,vite v6.4.2 ✓ built; +8 api 方法 (listAccounts/getAccountDetail/...) +2 sidebar items
AT-028,前端,账号页,web/src/components/AccountManagement.vue,实现账号管理主页面和五类 tab,P0,已注册 库存 使用中 失效 已售可切换,done,整合 AccountTable + AccountDrawer; 5 tabs 默认 inventory; refreshKey 联动,c5d8a6e,build 在 hotfix 后 ✓ built in 7.07s
AT-029,前端,表格,web/src/components/AccountTable.vue,实现账号表格列和批量选择,P0,支持复制邮箱 密码 导出 操作按钮,done,搜索/分页/排序/批量复制/状态徽标/refreshKey watch; hotfix 26543c2 修 defineProps validator,a88dbf2,build ✓ built in 7.07s after hotfix
AT-030,前端,详情,web/src/components/AccountDrawer.vue,实现账号详情抽屉,P1,展示认证文件 远端同步 分配 售卖 事件,done,7 区块 + 4 类操作弹窗 (allocate/release/mark-invalid/repair-oauth); 主号禁用,6e3cc11,build ✓ built in 5.66s
AT-031,前端,清理页,web/src/components/AccountCleanPage.vue,实现扫描 预览 应用三步流程,P1,清理问题可视化展示,done,3 步进度条 + dry-run/apply + CSV 下载 + window.confirm + report_after,11ba8d7,build ✓ built in 5.08s
AT-032,CSV,导出,src/autoteam/account_exports.py,实现库存 CSV 导出,P0,导出 email password cpa_json auth_name plan_type,done,新建 account_exports.py + 6 tests; csv.writer + utf-8-sig BOM; 兼容 v1/v2 字段,3206599,tests/unit/test_account_exports.py 6 passed; classifier+models 20 passed
AT-033,CSV,导出,src/autoteam/account_exports.py,实现已售 CSV 导出,P1,导出售卖批次 买家 交付时间,done,追加 export_sold_csv; 兼容 sale block + 平坦 sold_at; 5 tests,99bfd0c,tests/unit/test_account_exports.py 11 passed
AT-034,CSV,导入,src/autoteam/account_exports.py,实现外部账号 CSV 导入 dry-run,P1,导入前可预览冲突和缺字段,done,dry_run_import_csv 返回 to_add/conflicts/missing_fields/invalid_rows; 7 tests,b531102,tests/unit/test_account_exports.py 18 passed
AT-035,事件日志,审计,data/account-ledger/*.jsonl,记录注册 入库 分配 售卖 失效 修复事件,P1,账号详情可追溯状态变化,done,新建 account_ledger.py append_event/read_events; jsonl 按日期; 不接入避免连锁; 9 tests,bba1730,tests/unit/test_account_ledger.py 9 passed
AT-037,测试,单测,tests/test_account_classifier.py,覆盖五类分类规则,P0,registered inventory in_use invalid sold 分类全部通过,done,补充覆盖至 6 类 + 边界（sold>invalid 优先级/quota 不归 invalid/主号/缺字段兜底）,39e6b3f,tests/unit/test_account_classifier.py augmented
AT-038,测试,单测,tests/test_account_cleaner.py,覆盖重复邮箱和 auth_file 迁移,P0,dry-run/apply 结果稳定,done,补充至 8 场景（duplicate/auth 迁移/session 误用/缺密码/缺 RT/sold sync/备份/幂等）,6b99fc4,tests/unit/test_account_cleaner.py 15 passed
AT-039,测试,API,tests/test_accounts_api.py,覆盖账号查询和售卖保护,P1,已售账号无法被 allocate,done,补充至 10 保护场景（sold 拒 allocate/release; main 禁; 404; 分页边界; backup 真存; repair_oauth 限制）,488029f,tests/unit/test_api_accounts_*.py augmented
AT-040,文档,架构,llmdoc/architecture/account-management.md,新增账号管理架构文档,P1,记录四轴状态 数据清理 API UI 流程,done,新建 architecture/account-management.md + index.md 索引追加 1 条; 12 节涵盖四轴/契约/清理/API/UI/ledger/CSV/测试/约束/重构史,dabd5ff,llmdoc/index.md grep account-management = 1
AT-036,兼容,旧状态迁移,src/autoteam/account_store.py,把旧 status 映射到四轴字段,P0,旧 accounts.json 无需手动修改即可升级,done,sold/exhausted/active/standby/deactivated mapping; backup .bak-account-store-*; 9 tests,d6668cf,tests/unit/test_account_store.py 9 passed; phase1 full regression 29 passed
AT-037,测试,单测,tests/test_account_classifier.py,覆盖五类分类规则,P0,registered inventory in_use invalid sold 分类全部通过,done,补充覆盖至 6 类 + 边界,39e6b3f,tests/unit/test_account_classifier.py augmented
AT-038,测试,单测,tests/test_account_cleaner.py,覆盖重复邮箱和 auth_file 迁移,P0,dry-run/apply 结果稳定,done,补充至 8 场景,6b99fc4,tests/unit/test_account_cleaner.py 15 passed
AT-039,测试,API,tests/test_accounts_api.py,覆盖账号查询和售卖保护,P1,已售账号无法被 allocate,done,补充至 10 保护场景,488029f,tests/unit/test_api_accounts_*.py augmented
AT-040,文档,架构,llmdoc/architecture/account-management.md,新增账号管理架构文档,P1,记录四轴状态 数据清理 API UI 流程,done,新建 12 节架构文档 + index 索引,dabd5ff,llmdoc/index.md grep account-management = 1
